PDF 文件名,标题,波段信息,材料,设计目的
2011-Infrared Physics & Technology-巴伐利亚应用能源研究中心-J. Manara-组成结构对Christiansen波长及红外发射调控.pdf,Infrared-optical characteristics of ceramics at elevated temperatures,红外波段，2-18μm,"MgO,Al2O3,ZrO2,TiO2,Y2O3,SiC",这篇文章测量了四种不同陶瓷在室温和高温下的光谱定向发射率，并将其与通过洛伦兹振子模型计算的介电函数和折射率的光谱过程相关联。实验测定的纯陶瓷值与理论推导值和文献数据吻合良好，且发射率随温度升高而增加。此外，制备了两种复合陶瓷以影响红外光学性质，如克里斯蒂安森波长，结果表明通过改变样品成分可在一定程度上改变该波长，还计算了样品的有效散射系数并通过扫描电子显微镜进行了验证。 
2012-JAC-巴斯克大学-L. González-Fernández-高温下涂层厚度与发射率关系.pdf,Normal spectral emittance of Inconel 718 aeronautical alloy coated with yttria stabilized zirconia films,中红外波段，2.5-22μm,"Inconel718,YSZ",这篇文章通过测量大气等离子喷涂（PS）在Inconel 718航空合金上的YSZ薄膜光谱发射率，研究了其与薄膜厚度、表面粗糙度和温度的关系。研究发现PS-YSZ涂层在9μm以下为半透明，9μm以上为不透明，在半透明区域发射率受薄膜厚度影响，不透明区域则受表面粗糙度影响。该研究为热障涂层的辐射特性提供了重要数据，有助于优化热障涂层的设计和应用。 
2012Advanced Materials-南韩WCU-二氧化硅微球和PDMS组合柔软反射器.pdf,"Angle-Independent Reflectors: Flexible, Angle-Independent, Structural Color Reflectors Inspired by Morpho Butterfly Wings (Adv. Mater. 18/2012)",否,"Si,Cr,TiO2,SiO2,PDMS",这篇文章受Morpho蝴蝶翅膀启发，开发了一种结合二氧化硅微球基层和介质多层膜定向沉积的工艺，制造出柔性、角度无关的结构色反射器。该反射器不仅能重现Morpho蝴蝶翅膀的明亮饱和色彩，还具有更好的颜色和亮度稳定性，且可弯曲、折叠并应用于非平面表面，为反射显示、包装和广告等应用提供了新的解决方案。 
2013-高熵陶瓷模型建立方法-Efficient stochastic generation of special quasirandom structures.pdf,Efficient stochastic generation of special quasirandom structures,否,无,这篇文章提出了一种生成特殊准随机结构（SQS）的新算法，该算法基于蒙特卡罗模拟退火循环，通过优化超晶胞形状和原子位置占有率，能够高效地生成与真实无序状态最佳匹配的周期性超晶胞。此方法在多组分多子晶格系统的最一般框架中实现，可减少用户指定的输入信息，并实现高效并行化。文章通过具体示例展示了该算法的应用，其生成的SQS能在一定范围内精确再现无序状态的相关性，对材料科学中无序晶体合金的建模具有重要意义。 
2013NC-美国德雷塞尔大学Yury-层状碳化物和碳氮化物的插层和分层.pdf,Intercalation and delamination of layered carbides and carbonitrides,否,"Ti3C2,Ti3CN,TiNbC,N2H4,DMF,DMSO,Li","这篇文章首次报道了二维过渡金属碳化物（MXenes）的插层及剥离现象。研究发现肼（hydrazine）及其与N,N-二甲基甲酰胺（DMF）的共插层，可使表面功能化的f-Ti3C2的c晶格参数增加；尿素也能插入f-Ti3C2。分子动力学模拟表明，肼在f-Ti3C2层间形成了单层插层。此外，二甲基亚砜（DMSO）插入f-Ti3C2后经水超声处理可使其剥离成稳定的胶体溶液，进而制备出具有优异锂离子容量的MXene“纸”。该研究为MXenes在复合材料、催化、吸附和储能系统等领域的应用开发开辟了道路。 "
2014- 日本-欧陶-Controlling heat radiation for development of high-temperature insulatingmaterials.pdf,Controlling heat radiation for development of high-temperature insulating materials,中红外波段，1.6–2.9μm,"MgO,Al2O3,MgAl2O4",这篇文章旨在开发耐高温绝缘材料，通过控制热辐射来实现。文中制备了具有特定孔径的多孔镁铝尖晶石结构，其孔隙率为78%，孔径在0.05 - 1μm和1 - 5μm之间，1 - 5μm的孔对抑制热辐射更有效。实验结果表明，该多孔尖晶石陶瓷在1500°C时热导率小于0.3W/(m·K)，优于纤维状绝缘体，且热导率随温度变化稳定。研究发现，为减少辐射传热，增加与发射辐射波长相近尺寸的孔隙数量比单个孔隙的散射强度更重要。 
2014-Light Science Applications-吉林大学-Xiaofeng Fan-小球形粒子的光散射理论.pdf,A short review of light scattering on small particles,否,"Au,Ag,Pd",这篇文章回顾了小球形颗粒光散射的理论，包括准静态近似下的瑞利散射、米氏理论，以及金属颗粒的表面等离子体共振等内容。介绍了光散射在生物医学、传感技术、太阳能技术等领域的新应用，如光学捕获、表面增强拉曼散射、纳米激光器等。强调了尽管该理论的许多基本方面已有百年历史，但仍有新的发展和应用不断涌现。 
2014APL-Pt-Al2O3-Pt圆柱超表面.pdf,Stable high temperature metamaterial emitters for thermophotovoltaic applications,否,"Pt,Al2O3,sapphire",这篇文章设计了一种用于热光伏（TPV）发射器的超材料，由铂金属元件、氧化铝电介质间隔层和蓝宝石衬底上的铂接地平面组成。该超材料发射器在600°C仍能稳健运行，经实验验证可承受超过650°C的多次加热循环，发射峰强且光谱选择性随温度升高而增强，发射光谱比传统光子晶体发射器更窄，能精确调谐至TPV光电二极管的光谱响应，这将推动热光伏技术应用，如工业过程中的余热回收。 
2014APL-密歇根大学-Pt-Al2O3-Pt高温选择性发射器.pdf,Heterogeneous metasurface for high temperature selective emission,否,"Pt,Al2O3,Al,InGaAs,Sapphire",这篇文章展示了一种基于异质超表面的高温选择性发射体，该发射体在1300K的温度循环下仍能保持稳定。通过模拟、制造和表征由铂和氧化铝层组成的交叉背板超表面，其几何结构经过优化，可集成到热光伏（TPV）系统中。研究表明，该超表面在1300K的简化模型中，预测的光电功率转换效率为22%，且这种可广泛适应的选择性发射体设计能够轻松集成到全尺寸TPV系统中。 
2014SEMSC-南非国家lab-电子束制备Al2O3_Pt_Al2O3的热稳定性.pdf,Thermal stability of electron beam evaporated Al xOy/Pt/Al xOy multilayer solar absorber coatings,可见光至近红外波段，300-2500nm,"Cu,Al,O,Pt",这篇文章研究了热退火对电子束蒸发制备的Al?Oy/Pt/Al?Oy多层太阳能吸收涂层的影响。通过多种表征手段发现，退火温度和时间会影响涂层的微观结构、形貌、成分和光学性能。该涂层在空气中500℃下热稳定性良好，光谱选择性α/ε为0.951/0.09，600℃和700℃时选择性下降，主要是由于Cu扩散及CuO和Cu2O相的形成。长期热稳定性研究表明，涂层在450℃空气中24小时内稳定。 
2014solar energy-南非国家lab-Z.Y. Nuru教授-Ta金属可以防止Cu扩散从而提高Pt系统的热稳定性.pdf,A Tantalum di?usion barrier layer to improve the thermal stability of Al xOy/Pt/Al xOymultilayer solar absorber,可见光至近红外波段，300-2500nm,"Cu,Ta,Al,O,Pt",这篇文章研究了钽（Ta）扩散阻挡层对Al<sub>x</sub>O<sub>y</sub>/Pt/Al<sub>x</sub>O<sub>y</sub>多层选择性太阳能吸收涂层热稳定性的影响。通过在铜基底和涂层之间沉积Ta层，利用电子束蒸发制备样品，并在不同温度和时间下退火处理。结果表明，Ta层有效阻挡了铜的扩散，使涂层在700℃空气中热稳定性良好，光谱选择性（α/ε）为0.932/0.10；800℃时因铜扩散和CuO相形成，光谱选择性降至0.870/0.12。长期热稳定性研究显示，涂层在550℃空气中24小时内稳定，为提高多层太阳能吸收涂层的热稳定性提供了有效方法。 
2015-烧绿石萤石导电率-Enhanced ionic conductivity in pyrochlore and fluorite mixed phase yttrium-doped lanthanum zirconate.pdf,Enhanced ionic conductivity in pyrochlore and ?uorite mixed phase yttrium-doped lanthanum zirconate,否,"La(N-O3)3$6H2O,ZrO(NO 3)2$6H2O,Y(NO 3)3$6H2O,La 2Zr2O7,Y2Zr2O7,(La 1/C0xYx)2Zr2O7,LaY 1/C0xInO 3,Eu2Zr2O7",这篇文章通过对一系列钇掺杂的锆酸镧（La1??Y?）2Zr2O7（0≤x≤1）进行研究，发现掺杂会使样品从纯烧绿石相变为烧绿石和萤石混合相，再变为纯萤石相。在单相样品中，电导率随x变化；在两相样品中，烧绿石/萤石相边界的存在使电导率显著提高，有限元模拟证实了这一现象。研究为开发高电导率的固体电解质材料提供了新方法。 
2017SR-平面膜Pt有电场强度分析.pdf,Disordered Nanohole Patterns in Metal-Insulator Multilayer for Ultra-broadband Light Absorption: Atomic Layer Deposition for Lithography Free Highly repeatable Large Scale Multilayer Growth,可见光至近红外波段，400-1490nm,"Pt,Al2O3,SiO2,Cr",这篇文章提出了一种基于金属-绝缘体-金属-绝缘体（MIMI）堆叠设计的超宽带广角完美吸收器，采用原子层沉积（ALD）和简单退火工艺制备，无需光刻。模拟和实验结果表明，无序纳米孔的引入可显著提高吸收带宽和全向性，最佳情况下在400-1490nm波长范围内吸收率高于0.9，为超宽带光吸收器件设计提供了有效方法。 
2018 KAUST Science Advance MXene将水凝胶传感器的性能提升到极限.pdf,MXenes stretch hydrogel sensor performance to new limits,否,"Ti3C2Tx,PVA,HRTEM,XRD,Raman,SEM,TEM,3D TEM tomography",这篇文章开发了一种基于MXene（Ti3C2Tx）的PVA水凝胶，通过添加具有多个表面官能团的MXene纳米片，显著提高了水凝胶的拉伸敏感性、自愈合性和各向异性。该水凝胶能检测各种身体运动和生命信号，还可用于签名识别、语音检测等高级传感应用，为可穿戴电子设备、软机器人和人造皮肤提供了有前景的材料。 
2018ACS Nano-Deep-Learning-Enabled On-Demand Design of Chiral Metamaterials.pdf,Deep-Learning-Enabled On-Demand Design of Chiral Metamaterials,太赫兹波段，30-80THz,"Au,SiO2",这篇文章提出了一种基于深度学习的模型，由两个双向神经网络组成，用于自动设计和优化具有强手性光学响应的三维手性超材料。该模型能够通过正向预测准确高效地预测光学性能，还能通过反向检索从给定要求中获取设计参数，实现了按需设计功能。实验结果表明，该模型在研究复杂的光与物质相互作用以及加速纳米光子器件的按需设计方面具有强大的能力，为光学超材料和纳米光子结构的设计开辟了新范式。 
2018ACS photonocs-简单的神经网络平面膜-Training Deep Neural Networks for the Inverse Design of Nanophotonic Structures.pdf,Training deep neural networks for the inverse design of nanophotonic structures,可见光至近红外波段，400-1000nm,"SiO2,Si3N4",这篇文章提出了一种串联网络结构来解决深度神经网络在光子器件逆向设计中因数据不一致导致的训练困难问题。通过将正向建模网络与逆向设计网络级联，该结构能够有效训练，克服了逆散射问题中的非唯一性。实验结果表明，此方法在设计多层薄膜结构和二维结构时表现出色，能快速计算出满足目标响应的设计，为复杂光子结构的逆向设计提供了有效途径。 
2018AFM-光电罗先刚-红外伪装+全息成像.pdf,Plasmonic Metasurfaces for Simultaneous Thermal Infrared Invisibility and Holographic Illusion,大气透明窗口波段 8–14 μm,"Au,SiO2",这篇文章提出了一种超薄等离激元超表面，通过结合金属的低发射特性和空间非均匀结构中的光子自旋 - 轨道相互作用，在宽光谱和宽入射角范围内同时产生超低镜面反射和红外发射。设计并实验表征了由亚波长金属光栅组成的相位梯度超表面，在8 - 14μm红外大气窗口展示了超低镜面反射率和低于0.1的红外发射率，还证明了其能产生红外错觉，具有热和激光探测隐身以及多功能应用潜力，且该技术可扩展到其他电磁频谱，为表面涂层提供了可行替代方案。 
2018AOM-刘东青超材料大会隐身-A Multilayer Film Based Selective Thermal Emitter .pdf,A Multilayer Film Based Selective Thermal Emitter for Infrared Stealth Technology,大气透明窗口波段 3–5 μm ， 8–14 μm,"Ag,Ge,Si,SiO2,Ni,ZrO2",这篇文章设计并实现了一种基于Ag/Ge多层膜的选择性热发射体用于红外隐身技术。通过结构设计，该发射体在大气窗口（3-5μm和8-14μm）具有低发射率以实现红外“隐形”，在非大气窗口（5-8μm）具有高发射率以进行辐射冷却，可在环境温度至200°C下有效工作。经实验验证，与低发射率材料相比，该发射体在真空和实际环境中均展现出更好的辐射冷却性能及红外隐身性能，为红外隐身技术提供了更有效的解决方案。 
2018Light-不规则图形-Plasmonic nanostructure design and__characterization via Deep Learning.pdf,Plasmonic nanostructure design and characterization via Deep Learning,否,"ITO,PMMA - A4,Au",这篇文章提出了一种基于深度学习的方法，用于设计和表征等离子体纳米结构。通过训练深度神经网络，该方法能够从远场测量中检索亚波长尺寸，并直接解决逆问题，即根据所需的电磁响应获得几何结构。实验结果表明，该方法能够快速准确地设计和表征基于超表面的光学元件，以及针对目标化学品和生物分子的最佳纳米结构，为传感、成像和集成光谱应用提供了一种创新的解决方案。 
2018NANO Letters-比尔肯特大学物理系-基于石墨烯的自适应迷彩.pdf,Graphene Based Adaptive Thermal Camouflage,红外波段，2.5μm-25μm左右（文中提到在中红外范围实现了对热辐射的调制，从相关实验数据如在3.5V时光谱强度变化、发射热功率变化以及发射率变化等可大致推断出该范围） ,"PE,RTIL,IL,[DEME][TFSI],FTIR,XPS",这篇文章报道了一种新型的有源热表面，能够通过非挥发性离子液体的可逆嵌入对多层石墨烯的红外吸收率和发射率进行电调制，实现对红外热辐射的高效实时电控制。该有源热表面具有重量轻、厚度薄、超柔性的特点，可与反馈机制相结合，实现自适应热伪装系统，能在几秒钟内重新配置其热外观并与热背景融合，还可在热成像系统中实现冷热物体的伪装，这为从自适应红外光学到外层空间应用的热管理等多种新技术带来影响。 
2018PR-高温平面膜吸波器.pdf,Tuning the metal filling fraction in metal-insulator-metal ultra-broadband perfect absorbers to maximize the absorption bandwidth,可见光至近红外波段，400-1150nm,"Cr,Al2O3",这篇文章提出了一种基于Cr-Al2O3-Cr多层结构的金属-绝缘体-金属（MIM）超宽带完美吸收体的设计方法。通过数值模拟和实验表征，研究了不同几何结构对吸收性能的影响，并利用转移矩阵法（TMM）优化了顶层金属的特性。实验结果表明，通过调整金属填充率，可将吸收带宽从450nm提高到750nm，且具有良好的角度响应。该设计具有简单、无光刻的制造工艺，为高性能光学吸收体的设计提供了一种有效的策略。 
2018Science advance-Nanophotonic particle simulation and inverse design using artificial neural networks.pdf,Nanophotonic particle simulation and inverse design using artificial neural networks,可见光至近红外波段，400-800nm,"Ag,SiO2,TiO2,Si",这篇文章提出了一种使用人工神经网络来近似多层纳米粒子光散射的方法。该方法通过训练神经网络，能够以高精度近似模拟，且模拟速度比传统方法快几个数量级。训练后的神经网络可用于解决纳米光子逆设计问题，通过反向传播找到梯度，比数值方法更有效。此外，还能作为优化工具，用于宽带和特定波长散射的优化。此研究为纳米光子学的模拟和设计提供了创新解决方案。 
2018Science-美国加州大学欧文分校-灵感来自头足类动物的自适应红外反射系统 .pdf,Adaptive infrared-reflecting systems inspired by cephalopods,短波长至长波长红外波段，2.5μm-14μm,"Al,TiO2,SiO2",这篇文章受头足类动物启发，开发了一类新型自适应红外反射材料和设备。该设备具有简单的驱动机制、低工作温度、可调光谱范围、弱角度依赖性、快速响应、循环稳定性、可图案化和复用、自主运行、强大的机械性能和易于制造等特性。通过机械和电驱动，能可逆地调节宽带和窄带红外反射率，实现红外伪装等功能，为红外伪装和其他调节红外辐射的技术提供了新的可能性。 
2018化工新型材料-可见光与红外兼容伪装材料研究进展_陈明辉.pdf,Research progress in visible light and infrared compatible camouflage material,可见光至近红外波段，400-2500nm,"Al,SiO2,Fe2O3,TiO2,TiN,Cr,Cr2O3,Al/TiNO,ITO,ZnO,SnO2",这篇文章综述了实现可见光与红外兼容伪装材料的研究进展，描述了伪装机理、现状和发展趋势，详细介绍了涂层材料、一体化材料和复合薄膜等多种可见光与红外兼容伪装材料，包括它们的伪装机制、性能特点和制备方法等，为多光谱兼容伪装提供了参考。 
2018隐身.pdf,A Multilayer Film Based Selective Thermal Emitter for Infrared Stealth Technology,3–5 μm，5–8 μm，8–14 μm,"Ag,Ge",这篇文章提出了一种基于多层薄膜的选择性热发射体用于红外隐身技术。通过对Ag/Ge多层膜的形态表征、功率损耗密度分布模拟、红外光谱椭偏测量等一系列研究，对理想和实际的选择性发射体间波长相关发射率进行了量化，计算了选择性发射体的阻抗，分析了不同温度下的波段发射率等。该研究为红外隐身技术提供了多方面的理论支持和数据参考，有助于深入理解和优化相关技术。 
2019-JECS-西北工业大学-Yu Dong-溶胶-凝胶法合成了一种新的高熵稀土陶瓷的高温水腐蚀性能.pdf,High-entropy environmental barrier coating for the ceramic matrix composites,否,"(5RE0.2)2Si2O7,RE(NO)3·6H2O,TEOS,BSAS,Cu,Kα,NETZSCH STA 429 CD,Al2O3",这篇文章通过溶胶-凝胶法制备了一种新型高熵材料(Yb0.2Y0.2Lu0.2Sc0.2Gd0.2)2Si2O7，研究其作为碳化硅基复合材料环境障涂层（EBC）的性能。结果表明，该材料具有良好的相稳定性、与SiC基复合材料匹配的热膨胀系数和优异的抗水蒸气腐蚀性能，涂覆在Cf/SiC复合材料上能有效保护其免受水蒸气侵蚀，是一种很有潜力的EBC材料。 
2019-Journal of Advanced Ceramics-华东大学-Guo-Jun Zhang-稀土锆酸盐热障涂层.pdf,High -entropy pyrochlores with low thermal conductivity for thermal barrier coating materials,否,"La2O3,Nd2O3,Sm2O3,Eu2O3,Gd2O3,Y2O3,ZrO2",这篇文章通过常规固态反应法成功制备了基于稀土锆酸盐的高熵烧绿石型结构(5RE1/5)2Zr2O7，1000℃时合成基本完成。该材料在1500℃烧结3h后致密度为理论值的70%-80%，300-1200℃热导率低于1W·m-1·K-1，具有高抗烧结性和优异的热稳定性，有望成为热障涂层材料。 
2019-NanoEnergy-An ultra-thin colored textile with simultaneous solar and passive heating.pdf,An ultra-thin colored textile with simultaneous solar and passive heating abilities,近红外波段，780-2500nm；中红外波段，2.5-25μm,"Au,Ge,PDA,nPE",这篇文章报道了一种具有太阳能和被动加热功能的超薄彩色纺织品。该纺织品由涂有超薄金（Au）和锗（Ge）光学涂层的聚多巴胺（PDA）涂层纳米多孔聚乙烯（nPE）纺织品制成，能实现30% - 50%的太阳能吸收和10%左右的红外发射率。室内外测试表明，该纺织品能有效提升温度，相比2毫米厚的黑色运动衫，室内可使人工皮肤温度升高3.8°C，室外阳光下升高6.3°C。此外，该纺织品还具有良好的美观性、透气性、机械强度和可制造性，为个人节能热管理提供了创新解决方案。 
2019-日本-Int J Applied Ceramic Tech - low emissivity and high-temperature.pdf,Development of thermal insulating material with low emissivity and high‐temperature stability,近红外波段，1-5μm,"LaAl11O18,Al2O3,LaAlO3,MgAl2O4,La2O3,SiO2",这篇文章通过水合氧化铝制备出具有独特孔结构的多孔LaAl11O18陶瓷，该结构在0.35 - 5μm范围内具有散射和反射光的能力，使其具备优异的绝缘性能，在室温至1700°C范围内热导率低。此外，LaAl11O18陶瓷在高达1700°C的温度下具有高稳定性和低发射率（1500°C时半球总发射率为0.07），可用作热和光反射器以及高温热绝缘体。 
2019ACS photonics-A Deep Learning Approach for Objective-Driven All-Dielectric Metasurface Design.pdf,A Deep Learning Approach for Objective-Driven All-Dielectric Metasurface Design,中红外波段，5μm-10μm,无,这篇文章提出了一种基于深度学习的全介质超表面设计方法，通过构建预测神经网络（PNN）解决了传统设计方法的挑战。PNN能高精度预测3D全介质超结构的电磁响应，实现了超原子、超表面滤波器和相变可重构超表面的按需设计，减少了耗时的电磁模拟，为全介质超器件设计提供了创新方案。 
2019AM-A Bidirectional Deep Neural Network for Accurate Silicon Color Design.pdf,A Bidirectional Deep Neural Network for Accurate Silicon Color Design,否,"Si,Si3N4",这篇文章提出了一种双向深度神经网络用于精确的硅颜色设计，该网络能够通过少量全波电磁模拟数据训练，正向准确预测硅纳米结构产生的颜色，反向解决逆设计过程中的非唯一性问题，实现从颜色到结构的映射。其覆盖了CIE色度图上超过一百万个超密集色点，极大地提高了设计效率，为硅基结构色的设计提供了一种高效且准确的新方法。 
2019Nano letter-Global Optimization of Dielectric Metasurfaces Using a Physics-Driven Neural Network.pdf,Global optimization of dielectric metasurfaces using a physics-driven neural network,可见光至近红外波段，600-1300nm,Si,这篇文章提出了一种基于条件生成神经网络的全局优化器，能够输出一系列高效的拓扑优化超表面。该优化器通过生成广泛采样设计空间的器件分布，并在优化过程中向有利区域移动和细化，实现了对超表面的全局优化。实验结果表明，该优化器生成的器件效率与基于伴随变量法的拓扑优化相当，甚至更好，且计算成本更低。这项研究为电磁器件设计提供了一种创新的解决方案。 
